  forking is not supported on this platform

   INFO  Server running on [http://127.0.0.1:8001].  

  Press Ctrl+C to stop the server
  2024-11-30 16:17:09 /api/eventos/ ........................................................................ ~ 0.03ms
  2024-11-30 16:17:09 /api/eventos/ ........................................................................ ~ 0.02ms
  2024-11-30 16:17:09 /api/eventos/ ........................................................................ ~ 0.02ms
  2024-11-30 16:17:09 /api/eventos/ ........................................................................ ~ 0.02ms
  2024-11-30 16:17:09 /api/eventos/ ........................................................................ ~ 0.02ms
  2024-11-30 16:17:27 /api/inscricao-evento/inscricoes-user ................................................ ~ 0.07ms
  2024-11-30 16:17:28 /api/eventos/ ........................................................................ ~ 0.03ms
  2024-11-30 16:17:28 /api/eventos/ ........................................................................ ~ 0.03ms
  2024-11-30 16:17:28 /api/eventos/ ...................................................................... ~ 500.63ms
  2024-11-30 16:17:28 /api/eventos/ ........................................................................ ~ 0.03ms
  2024-11-30 16:17:28 /api/eventos/ ........................................................................ ~ 0.02ms
  2024-11-30 16:17:28 /api/eventos/ ........................................................................ ~ 0.02ms
  2024-11-30 16:17:28 /api/eventos/ ........................................................................ ~ 0.02ms
  2024-11-30 16:17:58 /api/inscricao-evento/inscricoes-user ................................................ ~ 0.09ms
  2024-11-30 16:17:58 /api/eventos/ ........................................................................ ~ 0.03ms
  2024-11-30 16:17:59 /api/eventos/ ........................................................................ ~ 0.02ms
  2024-11-30 16:17:59 /api/eventos/ ...................................................................... ~ 502.51ms
  2024-11-30 16:17:59 /api/eventos/ ........................................................................ ~ 0.04ms
  2024-11-30 16:17:59 /api/eventos/ ........................................................................ ~ 0.02ms
  2024-11-30 16:17:59 /api/eventos/ ........................................................................ ~ 0.02ms
  2024-11-30 16:17:59 /api/eventos/ ........................................................................ ~ 0.02ms
  2024-11-30 16:18:13 /api/inscricao-evento/inscricoes-user ................................................ ~ 0.09ms
  2024-11-30 16:18:13 /api/eventos/ ........................................................................ ~ 0.05ms
  2024-11-30 16:18:13 /api/eventos/ ........................................................................ ~ 0.03ms
  2024-11-30 16:18:13 /api/eventos/ ...................................................................... ~ 515.23ms
  2024-11-30 16:18:13 /api/eventos/ ........................................................................ ~ 0.03ms
  2024-11-30 16:18:13 /api/eventos/ ........................................................................ ~ 0.03ms
  2024-11-30 16:18:13 /api/eventos/ ........................................................................ ~ 0.02ms
  2024-11-30 16:18:13 /api/eventos/ ........................................................................ ~ 0.02ms
  2024-11-30 16:18:59 /api/inscricao-evento/inscricoes-user .............................................. ~ 503.51ms
  2024-11-30 16:18:59 /api/eventos/ ........................................................................ ~ 0.03ms
  2024-11-30 16:18:59 /api/eventos/ ........................................................................ ~ 0.03ms
  2024-11-30 16:18:59 /api/eventos/ ........................................................................ ~ 0.02ms
